SKU,Brand,Description,Qty 2023-24,Category,Core/Non Core
100605010131,WORKSTORE,"ECO FRIENDLY PRINTING  PAPER  70 GSM, A4 SIZE (500 SHEETS/ REAM) OR SIMILAR","6,19,744.00",Office Supplies,CORE
100605010017,WORKSTORE,"MULTIPURPOSE PRINTING PAPER 75 GSM, A4 SIZE(500 SHEETS/ REAM) OR SIMILAR","4,84,232.00",Office Supplies,CORE
100623040317,WORKSTORE,SF40044 Eco Notepad  1/8 40 Shheets 1Piece,"2,09,443.00",Office Supplies,CORE
100803050008,CAMLIN,"Camlin Permanent Marker, Plastic Body, Black - 7270016","1,98,810.00",Office Supplies,CORE
100214010033,WORKSTORE,WORKSTORE  BROWN TAPE SIZE 48MM (2 INCH) 50METERS LENGTH OR SIMILAR,"1,43,859.00",Office Supplies,CORE
100623050833,WORKSTORE,SF40049 WIRO NOTEBOOK B5 100PGS 60GSM,"1,30,346.00",Office Supplies,CORE
100214060097,WORKSTORE,WORKSTORE  TRANSPARENT  TAPE SIZE 48MM (2 INCH) 50 METERS LENGTH OR SIMILAR,"1,27,903.00",Office Supplies,CORE
100803060114,WORKSTORE,"SF50004, White Board Marker, Black","1,27,033.00",Office Supplies,CORE
100806011684,WORKSTORE,"EASY Fine Tip Ball Pen, Blue,  5 pcs/pack","1,25,530.00",Office Supplies,CORE
100623050834,WORKSTORE,SF40050 WIRO NOTEBOOK A5 100PGS 60GSM,"1,25,503.00",Office Supplies,CORE
100214060096,WORKSTORE,WORKSTORE  TRANSPARENT  TAPE SIZE 24MM (1 INCH),"1,24,981.00",Office Supplies,CORE
100605010018,JK,"JK Copier Paper, 75 GSM, A4, WWhite, 500 Sheets/Ream","1,17,898.00",Office Supplies,CORE
100207020066,WORKSTORE,Workstore ST-1515 15GMS GLUE STICK,"1,05,411.00",Office Supplies,CORE
10045803,CELLO,Cello Tri-mate Ball Pen Black (Pack of 5),"96,525.00",Office Supplies,CORE
100403010066,WORKSTORE,WORKSTORE ECO COBRA SPRING FILE  450 GSM OR SIMILAR,"90,796.00",Office Supplies,CORE
100401010126,WORKSTORE,WORKSTORE 30003 LEVER ARCH BOX FILE SIZE FULLSCAPEIMPORTED CLIP  OR SIMILAR,"88,051.00",Office Supplies,CORE
100623050736,WORKSTORE,SF40030 WIRO NOTEBOOK A4 100PGS 60GSM,"82,390.00",Office Supplies,CORE
100501070037,STANDARD,"Cloth Duster Checked Red Colorr, 16"" X 24""","77,558.00",Cleaning & Hygiene Products,CORE
10051169,C&W,C&W Oxo-Biodegradable Garbage Bag Black 19X21 Pack of 30,"77,118.00",Cleaning & Hygiene Products,CORE
100501070035,STANDARD,"Cloth Duster Checked Blue Color, 16"" X 24""","74,660.00",Cleaning & Hygiene Products,CORE
100803060112,WORKSTORE,"SF50002, White Board Marker, Blue","73,915.00",Office Supplies,CORE
100501070020,STANDARD,"Duster Cloth Glass 20"" X20"" (Blue)","65,540.00",Cleaning & Hygiene Products,CORE
100501070036,STANDARD,"Cloth Duster Checked Green Collor, 16"" X 24""","63,637.00",Cleaning & Hygiene Products,CORE
100501070022,STANDARD,"Duster Cloth Glass 20"" X20"" (Red)","63,252.00",Cleaning & Hygiene Products,CORE
10057913,CELLO,CELLO GRIPPER BALL PEN BLUE INK 0.5MM (PACK OF 10 PCS),"61,484.00",Office Supplies,CORE
100623040319,WORKSTORE,SF40042 Eco Notepad  1/4 40 Shheets 1Piece,"59,951.00",Office Supplies,CORE
100803050009,CAMLIN,"Camlin Permanent Marker, Plastic Body, Blue - 7270018","59,446.00",Office Supplies,CORE
100207020067,WORKSTORE,Workstore ST-0815 08GMS GLUE STICK,"59,269.00",Office Supplies,CORE
100403010041,WORKSTORE,WORKSTORE PREMIUM COBRA SPRING FILE  550 GSM OR SIMILAR,"59,086.00",Office Supplies,CORE
100803030122,CAMLIN,Camlin CD Dvd Marker Pen Black - 7289016,"56,171.00",Office Supplies,CORE
10049872,ODONIL,Air Freshner Cake Odonil 50gms,"55,864.00",Cleaning & Hygiene Products,CORE
100803060002,CAMLIN,"Camlin White Board Marker, Plastic Body, Black - 7268016","55,854.00",Office Supplies,CORE
100214010038,WORKSTORE,WORKSTORE  BROWN TAPE SIZE 72MM (3 INCH) 50 METERS LENGTH OR SIMILAR,"53,207.00",Office Supplies,CORE
100501070028,STANDARD,"Duster Cloth Floor 20"" x 20""","52,594.00",Cleaning & Hygiene Products,CORE
200101010021,DURACELL,Duracell MN1500 Alkaline batteryAA(LR6)1.5V 2Pc/Pk 8155828,"51,457.00",Office Supplies,CORE
100214020011,DEER,"YELLOW DOUBLE-SIDED FOAM TAPE   WIDTH 24 MM(1"" INCH) OR SIMILAR","49,980.00",Office Supplies,CORE
10051727,CELLO,CELLO TRI-MATE BALL PEN BLUE 5 PCS/ PACK of 1,"46,164.00",Office Supplies,CORE
100806010027,CELLO,"Cello Fine Grip Ball Pen, 0.7 MM, Blue, 5 Pc/Pack","45,617.00",Office Supplies,CORE
100501210010,STANDARD,"Brush Feather Static Duster, Assorted Colors","43,496.00",Cleaning & Hygiene Products,CORE
100506070002,STANDARD,"Yellow Cloth Duster, Size 18""  x 27""","43,196.00",Cleaning & Hygiene Products,CORE
100204010094,WORKSTORE,Workstore ST-6242 MULTIPURPOSE CUTTER,"43,190.00",Office Supplies,CORE
100503020047,C&W,C&W Facial Tissue  2ply 100 Puulls  per pack (Pack of 4),"43,154.00",Cleaning & Hygiene Products,CORE
200101010015,EVEREADY,Eveready 1015 Heavy Duty battery AA/R06 1.5 V,"42,713.00",Office Supplies,CORE
100623040320,WORKSTORE,SF40043 Eco Notepad  1/6 40 Shheets 1Piece,"42,222.00",Office Supplies,CORE
200101010033,EVEREADY,Eveready 1012 Heavy Duty battery AAA/R03 1.5 V,"41,190.00",Office Supplies,CORE
100803060003,CAMLIN,"Camlin White Board Marker, Plastic Body, Blue - 7268018","39,705.00",Office Supplies,CORE
10051170,C&W,C&W Oxo-Biodegradable Garbage Bag Black 30X40 Pack of 10,"39,411.00",Cleaning & Hygiene Products,CORE
100616030096,WORKSTORE,SF40037; Stickies-Yellow Notess; Size 3x3; 100 Sheets/Pack,"38,972.00",Office Supplies,CORE
100207010041,FEVIKWIK,Fevikwik Super Glue 3 G,"38,646.00",Office Supplies,CORE
10045692,3M,"3M Scotch Brite Pad 3""x4"" (Pacck of 4)","36,856.00",Cleaning & Hygiene Products,CORE
100212040045,KANGARO,"Kangaro No 10, HS-R10 / HD-10 Stapler, 10 Sht, No 10 Staple","36,756.00",Office Supplies,CORE
10051171,C&W,C&W Oxo-Biodegradable Garbage Bag Black 30X50 Pack of 10,"36,199.00",Cleaning & Hygiene Products,CORE
100623040046,WORKSTORE,Conference Pad; Corporate; 20  pgs; 60gsm paper; A5 6 Pcs,"35,969.00",Office Supplies,CORE
100509010001,STANDARD,Hand Gloves Rubber Orange XL Size,"34,576.00",Cleaning & Hygiene Products,CORE
100616030095,WORKSTORE,"SF40036, Stickies-Yellow Notess, Size 2x3"", 100 Sheets/Pack","33,694.00",Office Supplies,CORE
